date,value
2025-09-06,822.3913130000001
2025-09-07,1129.370083
2025-09-08,981.084232
2025-09-09,1154.418747
2025-09-10,1264.5469939999998
2025-09-11,1240.256429
2025-09-12,1226.286767
2025-09-13,1235.891371
2025-09-14,1262.351157
2025-09-15,1239.196783
2025-09-16,1307.442939
2025-09-17,1235.228377
2025-09-18,1152.9938080000004
2025-09-19,4165.384405999999
2025-09-20,3777.569460999998
2025-09-21,3918.0432340000007
2025-09-22,4343.436155999999
2025-09-23,4396.949387000001
2025-09-24,4307.3422820000005
2025-09-25,4296.905688999999
2025-09-26,4304.278807
2025-09-27,3868.935746
2025-09-28,3816.013156
2025-09-29,8605.024749
2025-09-30,9232.639691000002
2025-10-01,13414.714447000002
2025-10-02,30287.510067
2025-10-03,30796.004338
2025-10-04,30403.776706000004
2025-10-05,31654.960296
2025-10-06,32205.67427800001
2025-10-07,32074.536384
2025-10-08,33141.790645999994
2025-10-09,25095.675008
2025-10-10,17168.025535
2025-10-11,30056.318991
2025-10-12,31517.445013
2025-10-13,38555.978617
2025-10-14,33559.35546100001
2025-10-15,39742.762775
2025-10-16,40647.091649
2025-10-17,40208.96615099999
2025-10-18,42748.319246
2025-10-19,34175.991074000005
2025-10-20,39790.275972
2025-10-21,41395.620323
2025-10-22,48735.37362
2025-10-23,68789.103003
2025-10-24,69706.471561
2025-10-25,65279.537763000015
2025-10-26,66041.01272000001
2025-10-27,66312.45266400001
2025-10-28,75173.448244
2025-10-29,59931.855901
2025-10-30,70979.301928
2025-10-31,71949.275587
2025-11-01,69636.01828299998
2025-11-02,77417.17517400002
2025-11-03,74891.10955599998
2025-11-04,75416.02344500001
2025-11-05,77307.583129
2025-11-06,75213.84681
2025-11-07,73221.273233
2025-11-08,71158.898116
2025-11-09,72139.248822
2025-11-10,73150.195694
2025-11-11,72867.97464500001
2025-11-12,72725.44082399999
2025-11-13,71676.52459100001
2025-11-14,72437.299139
2025-11-15,71416.93550799998
2025-11-16,71454.36920200003
2025-11-17,70833.08115400001
2025-11-18,72665.60610900001
2025-11-19,73434.59784199999
2025-11-20,74421.17279000001
2025-11-21,75321.76409599998
2025-11-22,74556.96340800001
2025-11-23,73506.842406
2025-11-24,72080.83537400002
2025-11-25,73760.33201999999
2025-11-26,74528.8601
2025-11-27,75025.217616
2025-11-28,75019.93835200001
2025-11-29,73491.54022699999
2025-11-30,73044.112423
2025-12-01,72815.74893000002
2025-12-02,74336.85063300001
2025-12-03,75253.341727
2025-12-04,78812.753647
2025-12-05,76914.49424100001
2025-12-06,76514.734532
2025-12-07,77160.35263200001
2025-12-08,75622.626678
2025-12-09,76250.007019
2025-12-10,77233.91268600001
2025-12-11,77876.91974300002
2025-12-12,80409.34069599998
2025-12-13,79969.585865
2025-12-14,82444.03953400001
2025-12-15,79388.97507100001
2025-12-16,80939.960914
2025-12-17,81907.05198100001
2025-12-18,84389.603251
